발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-10-29 21:00:00+09,1,0,0,0,0,전남,해남군,차량단독,기타,안전운전 의무 불이행,농기계,없음,5,2626
2019-10-29 22:00:00+09,1,0,0,0,0,충북,충주시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2627
2019-10-29 23:00:00+09,1,0,0,0,0,경기,안산시,차대사람,차도통행중,신호위반,승용차,보행자,2,2628
2019-10-29 23:00:00+09,1,0,0,0,0,충남,천안시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2629
2019-10-30 02:00:00+09,1,0,0,0,0,경남,함안군,차대차,추돌,안전운전 의무 불이행,승용차,특수차,5,2630
2019-10-30 09:00:00+09,1,0,0,0,0,서울,중랑구,차대사람,횡단중,안전운전 의무 불이행,승합차,보행자,1,2631
2019-10-30 09:00:00+09,1,0,0,0,0,경북,경주시,차대사람,길가장자리구역통행중,안전운전 의무 불이행,승용차,보행자,2,2632
2019-10-30 10:00:00+09,1,0,0,0,0,경기,포천시,차대사람,길가장자리구역통행중,안전운전 의무 불이행,승용차,보행자,1,2633
2019-10-30 15:00:00+09,1,1,0,1,0,경기,파주시,차대차,측면충돌,중앙선 침범,화물차,화물차,5,2634
2019-10-30 18:00:00+09,1,0,0,0,0,서울,관악구,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,1,2635
2019-10-30 22:00:00+09,1,0,0,0,0,충남,아산시,차대차,기타,신호위반,이륜차,승합차,1,2636
2019-10-31 06:00:00+09,1,0,0,0,0,경남,양산시,차대차,기타,안전운전 의무 불이행,승용차,화물차,5,2637
2019-10-31 09:00:00+09,1,1,0,1,0,경기,평택시,차대차,측면충돌,신호위반,개인형이동수단(PM),승용차,1,2638
2019-10-31 09:00:00+09,1,8,2,5,1,경기,의정부시,차대차,추돌,안전운전 의무 불이행,건설기계,화물차,5,2639
2019-10-31 12:00:00+09,1,0,0,0,0,경남,창원시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,3,2640
